collected_at,search_id,signature,provider,kind,status,out_date,back_date,from_airport,to_airport,carrier,fare_brand,fare,bag_cost,true_total,stops,dep_local,arr_local,duration_min,bags_included_pp,deep_link
2026-09-06T17:12:27.848Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,virgin_atlantic,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,british_airways,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,google_flights,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,skyscanner,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,virgin_atlantic,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O1,2027-08-11|LON>MCO,british_airways,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O1,2027-08-11|LON>MCO,google_flights,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O1,2027-08-11|LON>MCO,skyscanner,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O1,2027-08-11|LON>MCO,virgin_atlantic,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O2,2027-08-11|LON>TPA,british_airways,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O2,2027-08-11|LON>TPA,google_flights,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O2,2027-08-11|LON>TPA,skyscanner,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O2,2027-08-11|LON>TPA,virgin_atlantic,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O3,2027-08-12|LON>MCO,british_airways,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O3,2027-08-12|LON>MCO,google_flights,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O3,2027-08-12|LON>MCO,skyscanner,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O3,2027-08-12|LON>MCO,virgin_atlantic,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O4,2027-08-12|LON>TPA,british_airways,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O4,2027-08-12|LON>TPA,google_flights,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O4,2027-08-12|LON>TPA,skyscanner,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O4,2027-08-12|LON>TPA,virgin_atlantic,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R1,2027-08-19|MCO>LON,british_airways,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R1,2027-08-19|MCO>LON,google_flights,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R1,2027-08-19|MCO>LON,skyscanner,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R1,2027-08-19|MCO>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R2,2027-08-19|TPA>LON,british_airways,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R2,2027-08-19|TPA>LON,google_flights,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R2,2027-08-19|TPA>LON,skyscanner,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R2,2027-08-19|TPA>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R3,2027-08-22|MIA>LON,british_airways,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R3,2027-08-22|MIA>LON,google_flights,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R3,2027-08-22|MIA>LON,skyscanner,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R3,2027-08-22|MIA>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,1812,0,1812,1,07:50,16:20,810,1,
2026-09-06T17:20:44.580Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,1812,0,1812,1,06:15,16:20,905,1,
2026-09-06T17:20:44.580Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2108,0,2108,0,14:30,19:05,575,1,
2026-09-06T17:20:44.580Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2348,0,2348,0,10:45,15:15,570,1,
2026-09-06T17:20:44.580Z,A3,2027-08-11|LON>TPA|TPA>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2884,0,2884,0,12:30,16:50,560,1,
2026-09-06T17:20:44.580Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2096,0,2096,0,14:30,19:05,575,1,
2026-09-06T17:20:44.580Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2456,0,2456,0,10:45,15:15,570,1,
2026-09-06T17:20:44.580Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2228,0,2228,0,12:30,16:50,560,1,
2026-09-06T17:20:44.580Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,2024,0,2024,1,07:50,16:20,810,1,
2026-09-06T17:20:44.580Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,2024,0,2024,1,06:15,16:20,905,1,
2026-09-06T17:20:44.580Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,2344,0,2344,0,14:30,19:05,575,1,
2026-09-06T17:20:44.580Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,4348,0,4348,0,10:45,15:15,570,1,
2026-09-06T17:20:44.580Z,O2,2027-08-11|LON>TPA,british_airways,one_way,ok,2027-08-11,,,,BA,,5052,0,5052,0,12:30,16:50,560,1,
2026-09-06T17:20:44.580Z,O3,2027-08-12|LON>MCO,british_airways,one_way,ok,2027-08-12,,,,BA,,2536,0,2536,0,14:30,19:05,575,1,
2026-09-06T17:20:44.580Z,O3,2027-08-12|LON>MCO,british_airways,one_way,ok,2027-08-12,,,,BA,,4348,0,4348,0,10:45,15:15,570,1,
2026-09-06T17:20:44.580Z,O4,2027-08-12|LON>TPA,british_airways,one_way,ok,2027-08-12,,,,BA,,2468,0,2468,0,12:30,16:50,560,1,
2026-09-06T17:20:44.580Z,R1,2027-08-19|MCO>LON,british_airways,one_way,no_prices_rendered,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,R1,2027-08-19|MCO>LON,google_flights,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,R1,2027-08-19|MCO>LON,skyscanner,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,R1,2027-08-19|MCO>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,R2,2027-08-19|TPA>LON,british_airways,one_way,no_prices_rendered,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,R2,2027-08-19|TPA>LON,google_flights,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,R2,2027-08-19|TPA>LON,skyscanner,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,R2,2027-08-19|TPA>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,R3,2027-08-22|MIA>LON,british_airways,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,R3,2027-08-22|MIA>LON,google_flights,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,R3,2027-08-22|MIA>LON,skyscanner,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,R3,2027-08-22|MIA>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,1812,0,1812,1,07:50,16:20,810,1,
2026-09-06T21:20:52.115Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,1812,0,1812,1,06:15,16:20,905,1,
2026-09-06T21:20:52.115Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2096,0,2096,0,14:30,19:05,575,1,
2026-09-06T21:20:52.115Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2352,0,2352,0,10:45,15:15,570,1,
2026-09-06T21:20:52.115Z,A3,2027-08-11|LON>TPA|TPA>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2888,0,2888,0,12:30,16:50,560,1,
2026-09-06T21:20:52.115Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2096,0,2096,0,14:30,19:05,575,1,
2026-09-06T21:20:52.115Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2456,0,2456,0,10:45,15:15,570,1,
2026-09-06T21:20:52.115Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2228,0,2228,0,12:30,16:50,560,1,
2026-09-06T21:20:52.115Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,2024,0,2024,1,07:50,16:20,810,1,
2026-09-06T21:20:52.115Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,2024,0,2024,1,06:15,16:20,905,1,
2026-09-06T21:20:52.115Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,2336,0,2336,0,14:30,19:05,575,1,
2026-09-06T21:20:52.115Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,4348,0,4348,0,10:45,15:15,570,1,
2026-09-06T21:20:52.115Z,O2,2027-08-11|LON>TPA,british_airways,one_way,ok,2027-08-11,,,,BA,,5052,0,5052,0,12:30,16:50,560,1,
2026-09-06T21:20:52.115Z,O3,2027-08-12|LON>MCO,british_airways,one_way,ok,2027-08-12,,,,BA,,2536,0,2536,0,14:30,19:05,575,1,
2026-09-06T21:20:52.115Z,O3,2027-08-12|LON>MCO,british_airways,one_way,ok,2027-08-12,,,,BA,,4348,0,4348,0,10:45,15:15,570,1,
2026-09-06T21:20:52.115Z,O4,2027-08-12|LON>TPA,british_airways,one_way,ok,2027-08-12,,,,BA,,2468,0,2468,0,12:30,16:50,560,1,
2026-09-06T21:20:52.115Z,R1,2027-08-19|MCO>LON,british_airways,one_way,no_prices_rendered,2027-08-19,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,R1,2027-08-19|MCO>LON,google_flights,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,R1,2027-08-19|MCO>LON,skyscanner,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,R1,2027-08-19|MCO>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,R2,2027-08-19|TPA>LON,british_airways,one_way,no_prices_rendered,2027-08-19,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,R2,2027-08-19|TPA>LON,google_flights,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,R2,2027-08-19|TPA>LON,skyscanner,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,R2,2027-08-19|TPA>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,R3,2027-08-22|MIA>LON,british_airways,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,R3,2027-08-22|MIA>LON,google_flights,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,R3,2027-08-22|MIA>LON,skyscanner,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T21:20:52.115Z,R3,2027-08-22|MIA>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2096,0,2096,0,14:30,19:05,575,1,
2026-09-06T23:29:44.437Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2352,0,2352,0,10:45,15:15,570,1,
2026-09-06T23:29:44.437Z,A3,2027-08-11|LON>TPA|TPA>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2888,0,2888,0,12:30,16:50,560,1,
2026-09-06T23:29:44.437Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2096,0,2096,0,14:30,19:05,575,1,
2026-09-06T23:29:44.437Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2456,0,2456,0,10:45,15:15,570,1,
2026-09-06T23:29:44.437Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2228,0,2228,0,12:30,16:50,560,1,
2026-09-06T23:29:44.437Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,2336,0,2336,0,14:30,19:05,575,1,
2026-09-06T23:29:44.437Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,4348,0,4348,0,10:45,15:15,570,1,
2026-09-06T23:29:44.437Z,O2,2027-08-11|LON>TPA,british_airways,one_way,ok,2027-08-11,,,,BA,,5052,0,5052,0,12:30,16:50,560,1,
2026-09-06T23:29:44.437Z,O3,2027-08-12|LON>MCO,british_airways,one_way,ok,2027-08-12,,,,BA,,2536,0,2536,0,14:30,19:05,575,1,
2026-09-06T23:29:44.437Z,O3,2027-08-12|LON>MCO,british_airways,one_way,ok,2027-08-12,,,,BA,,4348,0,4348,0,10:45,15:15,570,1,
2026-09-06T23:29:44.437Z,O4,2027-08-12|LON>TPA,british_airways,one_way,ok,2027-08-12,,,,BA,,2468,0,2468,0,12:30,16:50,560,1,
2026-09-06T23:29:44.437Z,R1,2027-08-19|MCO>LON,british_airways,one_way,no_prices_rendered,2027-08-19,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,R1,2027-08-19|MCO>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,R1,2027-08-19|MCO>LON,google_flights,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,R1,2027-08-19|MCO>LON,skyscanner,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,R2,2027-08-19|TPA>LON,british_airways,one_way,no_prices_rendered,2027-08-19,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,R2,2027-08-19|TPA>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,R2,2027-08-19|TPA>LON,google_flights,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,R2,2027-08-19|TPA>LON,skyscanner,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,R3,2027-08-22|MIA>LON,british_airways,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,R3,2027-08-22|MIA>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,R3,2027-08-22|MIA>LON,google_flights,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T23:29:44.437Z,R3,2027-08-22|MIA>LON,skyscanner,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-07T08:26:07.844Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-26,british_airways,round_trip,ok,2027-08-11,2027-08-26,,,BA,Economy Basic (lowest available),2080,520,2600,0,14:30,19:05,575,0,
2026-09-07T08:26:07.844Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-26,british_airways,round_trip,ok,2027-08-11,2027-08-26,,,BA,Economy Basic (lowest available),2380,520,2900,0,10:45,15:15,570,0,
2026-09-07T08:26:07.844Z,A3,2027-08-11|LON>TPA|TPA>LON|2027-08-26,british_airways,round_trip,ok,2027-08-11,2027-08-26,,,BA,Economy Basic (lowest available),2888,520,3408,0,12:30,16:50,560,0,
2026-09-07T08:26:07.844Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-26,british_airways,round_trip,ok,2027-08-12,2027-08-26,,,BA,Economy Basic (lowest available),2096,520,2616,0,14:30,19:05,575,0,
2026-09-07T08:26:07.844Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-26,british_airways,round_trip,ok,2027-08-12,2027-08-26,,,BA,Economy Basic (lowest available),2544,520,3064,0,10:45,15:15,570,0,
2026-09-07T08:26:07.844Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-26,british_airways,round_trip,ok,2027-08-12,2027-08-26,,,BA,Economy Basic (lowest available),2228,520,2748,0,12:30,16:50,560,0,
2026-09-07T08:26:07.844Z,A2-single,2027-08-11|LON>MCO|TPA>LON|2027-08-26|single,british_airways,open_jaw,no_prices_rendered,2027-08-11,2027-08-26,,,,,,,,,,,,,
2026-09-07T08:26:07.844Z,A2-single,2027-08-11|LON>MCO|TPA>LON|2027-08-26|single,virgin_atlantic,open_jaw,skipped_provider_down,2027-08-11,2027-08-26,,,,,,,,,,,,,
2026-09-07T08:26:07.844Z,A2-single,2027-08-11|LON>MCO|TPA>LON|2027-08-26|single,skyscanner,open_jaw,skipped_provider_down,2027-08-11,2027-08-26,,,,,,,,,,,,,
